Date,RevenueLKR,IsSeason,IsWeekend,Year,Month
1/1/2023,38500,1,1,2023,1
1/2/2023,52800,1,0,2023,1
1/3/2023,77550,1,0,2023,1
1/4/2023,108350,1,0,2023,1
1/5/2023,53350,1,0,2023,1
1/6/2023,31900,1,0,2023,1
1/7/2023,55550,1,1,2023,1
1/8/2023,48950,1,1,2023,1
1/9/2023,19800,1,0,2023,1
1/10/2023,29150,1,0,2023,1
1/11/2023,65450,1,0,2023,1
1/12/2023,78650,1,0,2023,1
1/13/2023,34100,1,0,2023,1
1/14/2023,56650,1,1,2023,1
1/15/2023,66000,1,1,2023,1
1/16/2023,39600,1,0,2023,1
1/17/2023,38500,1,0,2023,1
1/18/2023,55000,1,0,2023,1
1/19/2023,50050,1,0,2023,1
1/20/2023,26400,1,0,2023,1
1/21/2023,91850,1,1,2023,1
1/22/2023,36850,1,1,2023,1
1/23/2023,111100,1,0,2023,1
1/24/2023,18150,1,0,2023,1
1/25/2023,47850,1,0,2023,1
1/26/2023,82500,1,0,2023,1
1/27/2023,23100,1,0,2023,1
1/28/2023,86350,1,1,2023,1
1/29/2023,9900,1,1,2023,1
1/30/2023,37400,1,0,2023,1
1/31/2023,63250,1,0,2023,1
2/1/2023,33000,1,0,2023,2
2/2/2023,24200,1,0,2023,2
2/3/2023,11550,1,0,2023,2
2/4/2023,15400,1,1,2023,2
2/5/2023,16500,1,1,2023,2
2/6/2023,61050,1,0,2023,2
2/7/2023,48950,1,0,2023,2
2/8/2023,101200,1,0,2023,2
2/9/2023,57200,1,0,2023,2
2/10/2023,44550,1,0,2023,2
2/11/2023,23100,1,1,2023,2
2/12/2023,77000,1,1,2023,2
2/13/2023,29700,1,0,2023,2
2/14/2023,55550,1,0,2023,2
2/15/2023,27500,1,0,2023,2
2/16/2023,48950,1,0,2023,2
2/17/2023,84700,1,0,2023,2
2/18/2023,38500,1,1,2023,2
2/19/2023,21450,1,1,2023,2
2/20/2023,39600,1,0,2023,2
2/21/2023,45650,1,0,2023,2
2/22/2023,45100,1,0,2023,2
2/23/2023,53900,1,0,2023,2
2/24/2023,34100,1,0,2023,2
2/25/2023,83050,1,1,2023,2
2/26/2023,69300,1,1,2023,2
2/27/2023,26400,1,0,2023,2
2/28/2023,70950,1,0,2023,2
3/1/2023,48400,1,0,2023,3
3/2/2023,16500,1,0,2023,3
3/3/2023,16500,1,0,2023,3
3/4/2023,63250,1,1,2023,3
3/5/2023,62700,1,1,2023,3
3/6/2023,66000,1,0,2023,3
3/7/2023,71500,1,0,2023,3
3/8/2023,17050,1,0,2023,3
3/9/2023,45650,1,0,2023,3
3/10/2023,25850,1,0,2023,3
3/11/2023,24750,1,1,2023,3
3/12/2023,14850,1,1,2023,3
3/13/2023,46200,1,0,2023,3
3/14/2023,26400,1,0,2023,3
3/15/2023,37950,1,0,2023,3
3/16/2023,4950,1,0,2023,3
3/17/2023,80850,1,0,2023,3
3/18/2023,66000,1,1,2023,3
3/19/2023,13200,1,1,2023,3
3/20/2023,67100,1,0,2023,3
3/21/2023,44000,1,0,2023,3
3/22/2023,11550,1,0,2023,3
3/23/2023,26950,1,0,2023,3
3/24/2023,92400,1,0,2023,3
3/25/2023,45100,1,1,2023,3
3/26/2023,51150,1,1,2023,3
3/27/2023,19800,1,0,2023,3
3/28/2023,100100,1,0,2023,3
3/29/2023,34100,1,0,2023,3
3/30/2023,102850,1,0,2023,3
3/31/2023,29700,1,0,2023,3
4/1/2023,14850,0,1,2023,4
4/2/2023,12150,0,1,2023,4
4/3/2023,13950,0,0,2023,4
4/4/2023,19800,0,0,2023,4
4/5/2023,2700,0,0,2023,4
4/6/2023,1350,0,0,2023,4
4/7/2023,10350,0,0,2023,4
4/8/2023,25200,0,1,2023,4
4/9/2023,8100,0,1,2023,4
4/10/2023,4950,0,0,2023,4
4/11/2023,2700,0,0,2023,4
4/12/2023,5400,0,0,2023,4
4/13/2023,23400,0,0,2023,4
4/15/2023,13050,0,1,2023,4
4/16/2023,30150,0,1,2023,4
4/17/2023,11250,0,0,2023,4
4/18/2023,2700,0,0,2023,4
4/19/2023,6750,0,0,2023,4
4/20/2023,15300,0,0,2023,4
4/21/2023,5400,0,0,2023,4
4/22/2023,21600,0,1,2023,4
4/23/2023,18450,0,1,2023,4
4/24/2023,20700,0,0,2023,4
4/25/2023,6750,0,0,2023,4
4/26/2023,21600,0,0,2023,4
4/27/2023,13950,0,0,2023,4
4/28/2023,9900,0,0,2023,4
4/29/2023,8100,0,1,2023,4
4/30/2023,20700,0,1,2023,4
5/1/2023,1350,0,0,2023,5
5/2/2023,22500,0,0,2023,5
5/3/2023,8100,0,0,2023,5
5/5/2023,6750,0,0,2023,5
5/6/2023,31050,0,1,2023,5
5/7/2023,22950,0,1,2023,5
5/8/2023,10350,0,0,2023,5
5/9/2023,7650,0,0,2023,5
5/10/2023,5400,0,0,2023,5
5/11/2023,21600,0,0,2023,5
5/12/2023,23400,0,0,2023,5
5/13/2023,15300,0,1,2023,5
5/14/2023,2700,0,1,2023,5
5/15/2023,18000,0,0,2023,5
5/16/2023,9000,0,0,2023,5
5/17/2023,5400,0,0,2023,5
5/18/2023,16650,0,0,2023,5
5/19/2023,11250,0,0,2023,5
5/20/2023,16650,0,1,2023,5
5/21/2023,18900,0,1,2023,5
5/22/2023,10800,0,0,2023,5
5/23/2023,10350,0,0,2023,5
5/24/2023,9900,0,0,2023,5
5/25/2023,2700,0,0,2023,5
5/26/2023,9900,0,0,2023,5
5/27/2023,21150,0,1,2023,5
5/28/2023,2700,0,1,2023,5
5/29/2023,9900,0,0,2023,5
5/30/2023,37800,0,0,2023,5
5/31/2023,10350,0,0,2023,5
6/1/2023,2700,0,0,2023,6
6/2/2023,2700,0,0,2023,6
6/3/2023,8100,0,1,2023,6
6/4/2023,1350,0,1,2023,6
6/5/2023,7650,0,0,2023,6
6/7/2023,6300,0,0,2023,6
6/8/2023,4950,0,0,2023,6
6/9/2023,10350,0,0,2023,6
6/10/2023,15300,0,1,2023,6
6/11/2023,13050,0,1,2023,6
6/12/2023,45000,0,0,2023,6
6/13/2023,4950,0,0,2023,6
6/14/2023,2700,0,0,2023,6
6/15/2023,2700,0,0,2023,6
6/16/2023,13500,0,0,2023,6
6/17/2023,6750,0,1,2023,6
6/18/2023,8100,0,1,2023,6
6/19/2023,13950,0,0,2023,6
6/20/2023,2700,0,0,2023,6
6/21/2023,10800,0,0,2023,6
6/22/2023,25200,0,0,2023,6
6/23/2023,13950,0,0,2023,6
6/24/2023,6750,0,1,2023,6
6/25/2023,5400,0,1,2023,6
6/26/2023,2700,0,0,2023,6
6/27/2023,6750,0,0,2023,6
6/28/2023,7650,0,0,2023,6
6/29/2023,1350,0,0,2023,6
6/30/2023,5400,0,0,2023,6
7/1/2023,15300,0,1,2023,7
7/2/2023,5400,0,1,2023,7
7/4/2023,26550,0,0,2023,7
7/5/2023,2700,0,0,2023,7
7/6/2023,25650,0,0,2023,7
7/7/2023,20250,0,0,2023,7
7/8/2023,17550,0,1,2023,7
7/9/2023,8100,0,1,2023,7
7/10/2023,1350,0,0,2023,7
7/11/2023,10800,0,0,2023,7
7/12/2023,4050,0,0,2023,7
7/13/2023,13050,0,0,2023,7
7/14/2023,16650,0,0,2023,7
7/15/2023,7650,0,1,2023,7
7/16/2023,11250,0,1,2023,7
7/17/2023,23850,0,0,2023,7
7/18/2023,5400,0,0,2023,7
7/19/2023,2700,0,0,2023,7
7/20/2023,22500,0,0,2023,7
7/21/2023,5400,0,0,2023,7
7/22/2023,22950,0,1,2023,7
7/23/2023,5400,0,1,2023,7
7/24/2023,12600,0,0,2023,7
7/25/2023,9900,0,0,2023,7
7/26/2023,5400,0,0,2023,7
7/27/2023,9450,0,0,2023,7
7/28/2023,4950,0,0,2023,7
7/29/2023,10800,0,1,2023,7
7/30/2023,25200,0,1,2023,7
7/31/2023,16650,0,0,2023,7
8/1/2023,2700,0,0,2023,8
8/2/2023,7650,0,0,2023,8
8/3/2023,6300,0,0,2023,8
8/4/2023,11700,0,0,2023,8
8/5/2023,41850,0,1,2023,8
8/6/2023,9900,0,1,2023,8
8/7/2023,4950,0,0,2023,8
8/9/2023,26100,0,0,2023,8
8/10/2023,16650,0,0,2023,8
8/11/2023,19350,0,0,2023,8
8/12/2023,10800,0,1,2023,8
8/13/2023,5400,0,1,2023,8
8/14/2023,19800,0,0,2023,8
8/16/2023,2700,0,0,2023,8
8/17/2023,4950,0,0,2023,8
8/18/2023,1350,0,0,2023,8
8/19/2023,15300,0,1,2023,8
8/20/2023,13950,0,1,2023,8
8/21/2023,5400,0,0,2023,8
8/22/2023,12600,0,0,2023,8
8/23/2023,1350,0,0,2023,8
8/24/2023,13500,0,0,2023,8
8/26/2023,10800,0,1,2023,8
8/27/2023,13050,0,1,2023,8
8/28/2023,4050,0,0,2023,8
8/29/2023,19800,0,0,2023,8
8/30/2023,6750,0,0,2023,8
8/31/2023,1350,0,0,2023,8
9/1/2023,8100,0,0,2023,9
9/2/2023,12600,0,1,2023,9
9/3/2023,18000,0,1,2023,9
9/4/2023,10800,0,0,2023,9
9/5/2023,25200,0,0,2023,9
9/6/2023,27450,0,0,2023,9
9/7/2023,9000,0,0,2023,9
9/8/2023,15300,0,0,2023,9
9/9/2023,4950,0,1,2023,9
9/10/2023,22500,0,1,2023,9
9/11/2023,20250,0,0,2023,9
9/12/2023,4050,0,0,2023,9
9/13/2023,11250,0,0,2023,9
9/14/2023,13050,0,0,2023,9
9/15/2023,29250,0,0,2023,9
9/16/2023,15750,0,1,2023,9
9/17/2023,12600,0,1,2023,9
9/18/2023,23400,0,0,2023,9
9/19/2023,5400,0,0,2023,9
9/20/2023,15300,0,0,2023,9
9/21/2023,20700,0,0,2023,9
9/22/2023,18000,0,0,2023,9
9/23/2023,9450,0,1,2023,9
9/24/2023,12600,0,1,2023,9
9/25/2023,9450,0,0,2023,9
9/26/2023,16650,0,0,2023,9
9/27/2023,15300,0,0,2023,9
9/28/2023,9450,0,0,2023,9
9/29/2023,31950,0,0,2023,9
9/30/2023,2700,0,1,2023,9
10/1/2023,18150,1,1,2023,10
10/2/2023,40150,1,0,2023,10
