RentalID,Date,Year,Month,IsSeason,IsWeekend,VehicleType,RentalDays,DailyPriceLKR,TotalPriceLKR,CustomerType,Notes
1,2023-01-01,2023,1,1,1,Car,4,7500,30000,,
2,2023-01-01,2023,1,1,1,Car,1,9500,9500,,
3,2023-01-01,2023,1,1,1,Tuk Tuk,1,4000,4000,,
4,2023-01-01,2023,1,1,1,Car,4,7500,30000,,
5,2023-01-01,2023,1,1,1,Car,2,7500,15000,,
6,2023-01-01,2023,1,1,1,Bike,1,2500,2500,,
7,2023-01-01,2023,1,1,1,Car,1,9500,9500,,
8,2023-01-02,2023,1,1,0,Bike,4,2000,8000,,
9,2023-01-02,2023,1,1,0,Car,3,8000,24000,,
10,2023-01-02,2023,1,1,0,Bike,2,2000,4000,,
11,2023-01-02,2023,1,1,0,Bike,4,2000,8000,,
12,2023-01-02,2023,1,1,0,Tuk Tuk,1,4500,4500,,
13,2023-01-02,2023,1,1,0,Bike,2,2000,4000,,
14,2023-01-02,2023,1,1,0,Bike,4,2000,8000,,
15,2023-01-03,2023,1,1,0,Car,3,6500,19500,,
16,2023-01-03,2023,1,1,0,Bike,4,2000,8000,,
17,2023-01-03,2023,1,1,0,Bike,3,2000,6000,,
18,2023-01-03,2023,1,1,0,Bike,3,2000,6000,,
19,2023-01-03,2023,1,1,0,Bike,2,2000,4000,,
20,2023-01-04,2023,1,1,0,Bike,3,2000,6000,,
21,2023-01-04,2023,1,1,0,Bike,3,2000,6000,,
22,2023-01-04,2023,1,1,0,Bike,2,2000,4000,,
23,2023-01-04,2023,1,1,0,Bike,3,2000,6000,,
24,2023-01-04,2023,1,1,0,Car,2,8000,16000,,
25,2023-01-04,2023,1,1,0,Bike,1,2000,2000,,
26,2023-01-04,2023,1,1,0,Tuk Tuk,4,4500,18000,,
27,2023-01-04,2023,1,1,0,Bike,4,2000,8000,,
28,2023-01-04,2023,1,1,0,Car,2,6500,13000,,
29,2023-01-05,2023,1,1,0,Bike,2,2000,4000,,
30,2023-01-05,2023,1,1,0,Bike,2,2000,4000,,
31,2023-01-05,2023,1,1,0,Bike,3,2000,6000,,
32,2023-01-05,2023,1,1,0,Bike,3,2000,6000,,
33,2023-01-05,2023,1,1,0,Car,2,8000,16000,,
34,2023-01-06,2023,1,1,0,Bike,4,2000,8000,,
35,2023-01-06,2023,1,1,0,Bike,3,2000,6000,,
36,2023-01-06,2023,1,1,0,Car,1,6500,6500,,
37,2023-01-06,2023,1,1,0,Bike,2,2000,4000,,
38,2023-01-07,2023,1,1,1,Tuk Tuk,2,5000,10000,,
39,2023-01-07,2023,1,1,1,Car,4,9500,38000,,
40,2023-01-07,2023,1,1,1,Car,4,9500,38000,,
41,2023-01-07,2023,1,1,1,Bike,2,2000,4000,,
42,2023-01-07,2023,1,1,1,Car,2,9500,19000,,
43,2023-01-07,2023,1,1,1,Car,1,9500,9500,,
44,2023-01-07,2023,1,1,1,Car,1,9500,9500,,
45,2023-01-08,2023,1,1,1,Car,1,9500,9500,,
46,2023-01-08,2023,1,1,1,Car,2,9500,19000,,
47,2023-01-08,2023,1,1,1,Car,3,7500,22500,,
48,2023-01-08,2023,1,1,1,Bike,3,2500,7500,,
49,2023-01-08,2023,1,1,1,Tuk Tuk,3,5000,15000,,
50,2023-01-08,2023,1,1,1,Car,1,9500,9500,,
51,2023-01-09,2023,1,1,0,Bike,3,2000,6000,,
52,2023-01-09,2023,1,1,0,Car,4,6500,26000,,
53,2023-01-09,2023,1,1,0,Bike,1,2000,2000,,
54,2023-01-09,2023,1,1,0,Bike,1,2000,2000,,
55,2023-01-10,2023,1,1,0,Bike,2,2000,4000,,
56,2023-01-10,2023,1,1,0,Bike,1,2000,2000,,
57,2023-01-10,2023,1,1,0,Bike,4,2000,8000,,
58,2023-01-10,2023,1,1,0,Car,2,8000,16000,,
59,2023-01-11,2023,1,1,0,Car,4,6500,26000,,
60,2023-01-11,2023,1,1,0,Bike,2,2000,4000,,
61,2023-01-11,2023,1,1,0,Bike,2,2000,4000,,
62,2023-01-11,2023,1,1,0,Bike,3,2000,6000,,
63,2023-01-11,2023,1,1,0,Bike,3,2000,6000,,
64,2023-01-11,2023,1,1,0,Bike,1,2000,2000,,
65,2023-01-11,2023,1,1,0,Tuk Tuk,4,4500,18000,,
66,2023-01-12,2023,1,1,0,Car,3,6500,19500,,
67,2023-01-12,2023,1,1,0,Tuk Tuk,3,3500,10500,,
68,2023-01-12,2023,1,1,0,Bike,1,2000,2000,,
69,2023-01-12,2023,1,1,0,Bike,3,2000,6000,,
70,2023-01-12,2023,1,1,0,Bike,3,2000,6000,,
71,2023-01-12,2023,1,1,0,Car,2,8000,16000,,
72,2023-01-12,2023,1,1,0,Bike,3,2000,6000,,
73,2023-01-12,2023,1,1,0,Bike,1,2000,2000,,
74,2023-01-12,2023,1,1,0,Bike,3,2000,6000,,
75,2023-01-13,2023,1,1,0,Tuk Tuk,3,3500,10500,,
76,2023-01-13,2023,1,1,0,Bike,1,2000,2000,,
77,2023-01-13,2023,1,1,0,Bike,1,2000,2000,,
78,2023-01-13,2023,1,1,0,Bike,1,2000,2000,,
79,2023-01-13,2023,1,1,0,Bike,2,2000,4000,,
80,2023-01-13,2023,1,1,0,Bike,2,2000,4000,,
81,2023-01-13,2023,1,1,0,Car,3,8000,24000,,
82,2023-01-14,2023,1,1,1,Car,1,9500,9500,,
83,2023-01-14,2023,1,1,1,Bike,1,2500,2500,,
84,2023-01-14,2023,1,1,1,Car,4,9500,38000,,
